SKU,Product Name,Price (BDT),Stock,Sizes,Version,Delivery,Active,Image URL
arg-away-full,Argentina Away Full Sleeve Player Version,1300,50,S|M|L|XL|XXL,Player,,-,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373213/image_1775314686892_56e3112a_1_ewyzdd.jpg
brazil-away-full,Brazil away Full Sleeve Player version,1300,50,S|M|L|XL|XXL,Player,,-,https://res.cloudinary.com/dxn7untrc/image/upload/v1778384550/WhatsApp_Image_2026-05-10_at_5.25.40_AM_hue5tr.jpg
can-h,Canada Home Player Version,1050,40,S|M|L|XXL,Player,,-,https://res.cloudinary.com/dxn7untrc/image/upload/v1778385172/Sports_Nation_BD_67_cic47k.jpg
col-a,Colombia Away Player Version,1050,15,S|M|L|XL|XXL,Player,,-,https://res.cloudinary.com/dxn7untrc/image/upload/v1778385173/Sports_Nation_BD_66_ub3uug.jpg
eng-a,England WC26 Away Kit,1050,25,S|M|L|XL|XXL,Player,,-,https://res.cloudinary.com/dxn7untrc/image/upload/v1778385172/Sports_Nation_BD_64_nbizok.jpg
nor-h,Norway WC26 Home Kit,1050,25,S|M|L|XL|XXL,Player,,-,https://res.cloudinary.com/dxn7untrc/image/upload/v1778385175/gpt-image-2-edit-1_2_zfgrhf.png
Port_Home-full,Portugal Home Full Sleeve Player Version,1300,50,S|M|L|XL|XXL,Player,,-,https://res.cloudinary.com/dxn7untrc/image/upload/v1778385173/Sports_Nation_BD_63_lqa3te.jpg
Port-away_full,Portugal Away Full Sleeve Player version,1300,50,S|M|L|XL|XXL,Player,,-,https://res.cloudinary.com/dxn7untrc/image/upload/v1778385173/Sports_Nation_BD_62_kxzz4y.jpg
SKU-1772002581889-5D40OZ,Portugal WC26 Away Kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373957/image_1773563959399_cb85c47c_1_z4lyvd.png
SKU-1772003221075-9XYZTL,England WC26 Home Kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373945/openart-image_1773648534749_53f061a4_1773648535322_4f09bf23_vi1dbo.webp
SKU-1772004713575-XB9U4K,Portugal WC26 Home Kit,1050,49,S|M|L|XL|XXL|3XL|4XL|5XL,Player,20 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373945/openart-image_1773563409200_b9b17ba1_1773563409613_20759a0c_hjj7tu.webp
SKU-1772004851981-Z7ATZB,Japan WC26 Home Kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373945/openart-image_1773648934783_902821c4_1773648935120_2a626e49_ahblik.webp
SKU-1772004989908-A87YHT,Germany 2026 World Cup Kit Full Sleeve,850,0,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,No,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/germany-2026-world-cup-kit-ful-1772004966527-m8ows4.webp
SKU-1772005254191-AOGUYG,Italy WC26 Home kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373946/openart-image_1773649051006_a3565306_1773649051582_c2f9f287_rjs4es.webp
SKU-1772129289544-HAX9IN,Argentina WC26 Special Edition,1050,47,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373947/openart-image_1773652939258_5bd4ad38_1773652939772_00b00fe3_s3hydt.webp
SKU-1773657425589-8LT027,Argentina WC26 Home Kit,1050,0,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373939/681806165_122170248398893376_3757421553161131884_n_hcozer.webp
SKU-1773660133251-CY9163,Germany WC26 Away Kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373943/openart-image_1773562387624_5747c4cb_1773562388220_1a9ca38a_fargmz.jpg
SKU-1773660468253-YQO2AB,Brazil WC26 Home Kit,1050,49,S|M|L|XL|XXL|3XL|4XL|5XL,Player,20 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373936/LOGO_tz3zuc.webp
SKU-1773661257444-MG6H8F,Spain WC26 Home Kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373939/Sports_Nation_BD_35_oakwdl.webp
SKU-1773662076274-SJCT4R,Brazil WC26 Away Kit,1050,49,S|M|L|XL|XXL|3XL|4XL|5XL,Player,20 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373956/image_1773562635415_ae63c3a6_1_rgpz6j.png
SKU-1773662860978-GY7ZX9,Argentina WC26 GK Kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,No,https://kebgbomwiyfumhrslfgg.supabase.co/storage/v1/object/public/product-images/products/product-1773662822274-0-9ulyrq.webp
SKU-1773663278759-7UZ0Q2,Argentina WC26 Away Kit,1050,30,S|M|L|XL|XXL|3XL|4XL|5XL,Player,20 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373936/WhatsApp_Image_2026-04-30_at_5.11.29_PM_1_zovttd.jpg
SKU-1773664127514-MNVBXD,Germany WC26 Home Kit,1050,30,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373938/Untitled_design_1_1_wn1ahl.webp
SKU-1774581153053-U0W6OK,Spain WC26 Away Kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373940/image_1777511230589_01a57edc_tvetgc.webp
SKU-1774583502772-BBGDQY,Portugal WC26 Black Panther Special Kit,1050,50,S|M|L|XL|XXL|3XL|4XL|5XL,Player,2 weeks,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373942/openart-image_1773648689553_1743e6c3_1773648690132_da8a5f46_oqvuju.webp
SKU-1777512490192-KBH0QS,Brazil WC26 Special Kit,950,30,S|M|L|XL|XXL|3XL|4XL|5XL,Fan,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373940/Sports_Nation_BD_43_gd7smi.webp
SKU-1777512896783-83ZF06,Argentina Terrace Kit,1150,40,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373945/sports_nation_bd_4_mja0go.jpg
SKU-1777970344715-JWQT0J,Argentina World Cup Special Edition,850,30,S|M|L|XL|XXL|3XL|4XL|5XL,Player,1-3 days,Yes,https://res.cloudinary.com/dxn7untrc/image/upload/v1778373935/openart-image_1777909535919_d5b13931_1777909536364_512d5c7f_diyxtn.webp
